Mass Suggestion,1483885,http://www.worldanvil.com/sheet/1483885/view
Maze,1483886,http://www.worldanvil.com/sheet/1483886/view
Meld into Stone,1483887,http://www.worldanvil.com/sheet/1483887/view
Melf's Acid Arrow,1483888,http://www.worldanvil.com/sheet/1483888/view
Mending,1483889,http://www.worldanvil.com/sheet/1483889/view
Message,1483890,http://www.worldanvil.com/sheet/1483890/view
Meteor Swarm,1483891,http://www.worldanvil.com/sheet/1483891/view
Mind Blank,1483892,http://www.worldanvil.com/sheet/1483892/view
Mind Sliver,1483893,http://www.worldanvil.com/sheet/1483893/view
Mind Spike,1483894,http://www.worldanvil.com/sheet/1483894/view
Minor Illusion,1483895,http://www.worldanvil.com/sheet/1483895/view
Mirage Arcane,1483896,http://www.worldanvil.com/sheet/1483896/view
Mirror Image,1483897,http://www.worldanvil.com/sheet/1483897/view
Mislead,1483898,http://www.worldanvil.com/sheet/1483898/view
Misty Step,1483899,http://www.worldanvil.com/sheet/1483899/view
Modify Memory,1483900,http://www.worldanvil.com/sheet/1483900/view
Moonbeam,1483901,http://www.worldanvil.com/sheet/1483901/view
Mordenkainen's Faithful Hound,1483902,http://www.worldanvil.com/sheet/1483902/view
Mordenkainen's Magnificent Mansion,1483903,http://www.worldanvil.com/sheet/1483903/view
Mordenkainen's Private Sanctum,1483904,http://www.worldanvil.com/sheet/1483904/view
Mordenkainen's Sword,1483905,http://www.worldanvil.com/sheet/1483905/view
Move Earth,1483906,http://www.worldanvil.com/sheet/1483906/view
Nondetection,1483907,http://www.worldanvil.com/sheet/1483907/view
Nystul's Magic Aura,1483908,http://www.worldanvil.com/sheet/1483908/view
Otiluke's Freezing Sphere,1483909,http://www.worldanvil.com/sheet/1483909/view
Otiluke's Resilient Sphere,1483910,http://www.worldanvil.com/sheet/1483910/view
Otto's Irresistible Dance,1483911,http://www.worldanvil.com/sheet/1483911/view
Pass without Trace,1483912,http://www.worldanvil.com/sheet/1483912/view
Passwall,1483913,http://www.worldanvil.com/sheet/1483913/view
Phantasmal Force,1483914,http://www.worldanvil.com/sheet/1483914/view
Phantasmal Killer,1483915,http://www.worldanvil.com/sheet/1483915/view
Phantom Steed,1483916,http://www.worldanvil.com/sheet/1483916/view
Planar Ally,1483917,http://www.worldanvil.com/sheet/1483917/view
Planar Binding,1483918,http://www.worldanvil.com/sheet/1483918/view
Plane Shift,1483919,http://www.worldanvil.com/sheet/1483919/view
Plant Growth,1483920,http://www.worldanvil.com/sheet/1483920/view
Poison Spray,1483921,http://www.worldanvil.com/sheet/1483921/view
Polymorph,1483922,http://www.worldanvil.com/sheet/1483922/view
Power Word Fortify,1483923,http://www.worldanvil.com/sheet/1483923/view
Power Word Heal,1483924,http://www.worldanvil.com/sheet/1483924/view
Power Word Kill,1483925,http://www.worldanvil.com/sheet/1483925/view
Power Word Stun,1483926,http://www.worldanvil.com/sheet/1483926/view
Prayer of Healing,1483927,http://www.worldanvil.com/sheet/1483927/view
Prestidigitation,1483928,http://www.worldanvil.com/sheet/1483928/view
Prismatic Spray,1483929,http://www.worldanvil.com/sheet/1483929/view
Prismatic Wall,1483930,http://www.worldanvil.com/sheet/1483930/view
Produce Flame,1483931,http://www.worldanvil.com/sheet/1483931/view
Programmed Illusion,1483932,http://www.worldanvil.com/sheet/1483932/view
Project Image,1483933,http://www.worldanvil.com/sheet/1483933/view
Protection from Energy,1483934,http://www.worldanvil.com/sheet/1483934/view
Protection from Evil and Good,1483935,http://www.worldanvil.com/sheet/1483935/view
Protection from Poison,1483936,http://www.worldanvil.com/sheet/1483936/view
Purify Food and Drink,1483937,http://www.worldanvil.com/sheet/1483937/view
Raise Dead,1483938,http://www.worldanvil.com/sheet/1483938/view
Rary's Telepathic Bond,1483939,http://www.worldanvil.com/sheet/1483939/view
Ray of Enfeeblement,1483940,http://www.worldanvil.com/sheet/1483940/view
Ray of Frost,1483941,http://www.worldanvil.com/sheet/1483941/view
Ray of Sickness,1483942,http://www.worldanvil.com/sheet/1483942/view
Regenerate,1483943,http://www.worldanvil.com/sheet/1483943/view
Reincarnate,1483944,http://www.worldanvil.com/sheet/1483944/view
Remove Curse,1483945,http://www.worldanvil.com/sheet/1483945/view
Resistance,1483946,http://www.worldanvil.com/sheet/1483946/view
Resurrection,1483947,http://www.worldanvil.com/sheet/1483947/view
